Date,Price,Open,High,Low,Volume
29/09/2015,1127.10,1132.40,1133.60,1123.90,0.25
30/09/2015,1115.50,1127.50,1127.50,1111.30,0.28
01/10/2015,1114.00,1114.90,1118.30,1111.00,0.26
02/10/2015,1136.70,1113.00,1140.70,1105.00,0.47
05/10/2015,1137.70,1138.70,1141.30,1129.80,0.20
06/10/2015,1146.40,1135.30,1149.80,1134.90,0.24
07/10/2015,1148.60,1145.80,1152.50,1142.00,0.27
08/10/2015,1144.20,1145.20,1150.40,1136.50,0.24
09/10/2015,1155.80,1139.40,1158.50,1139.40,0.22
12/10/2015,1164.40,1157.20,1168.10,1157.00,0.26
13/10/2015,1165.30,1161.10,1168.30,1152.90,0.30
14/10/2015,1179.60,1166.90,1189.00,1162.50,0.48
15/10/2015,1187.30,1184.30,1191.20,1174.70,0.43
16/10/2015,1182.90,1181.80,1184.10,1174.40,0.34
19/10/2015,1172.50,1175.90,1176.60,1168.30,0.18
20/10/2015,1177.20,1168.50,1180.40,1167.80,0.18
21/10/2015,1166.80,1176.30,1178.20,1163.60,0.20
22/10/2015,1165.80,1166.90,1170.70,1163.00,0.13
23/10/2015,1162.50,1165.90,1179.00,1158.70,0.45
26/10/2015,1165.90,1162.30,1168.90,1162.30,0.08
27/10/2015,1165.40,1163.60,1168.30,1160.50,0.26
28/10/2015,1175.70,1166.40,1182.00,1153.30,0.22
29/10/2015,1147.30,1156.10,1162.50,1144.20,155.61
30/10/2015,1141.40,1146.60,1149.80,1138.40,123.17
02/11/2015,1135.90,1141.30,1142.70,1132.20,106.36
03/11/2015,1114.10,1132.90,1138.00,1113.60,157.45
04/11/2015,1106.20,1117.40,1122.30,1105.60,157.67
05/11/2015,1104.20,1106.80,1111.30,1102.20,144.64
06/11/2015,1087.70,1103.20,1109.70,1084.50,199.87
09/11/2015,1088.10,1089.10,1094.90,1087.40,141.89
10/11/2015,1088.50,1090.80,1094.80,1084.00,144.17
11/11/2015,1084.90,1088.50,1093.50,1083.20,171.73
12/11/2015,1081.00,1085.40,1089.00,1073.00,208.30
13/11/2015,1080.90,1083.50,1088.00,1078.20,130.83
16/11/2015,1083.60,1087.90,1097.40,1080.50,151.38
17/11/2015,1068.60,1082.40,1085.10,1064.40,181.46
18/11/2015,1068.70,1070.20,1074.60,1062.00,154.64
19/11/2015,1077.90,1069.30,1086.60,1068.30,177.56
20/11/2015,1076.30,1079.70,1087.20,1074.90,157.70
23/11/2015,1066.80,1076.40,1076.50,1065.00,178.09
24/11/2015,1073.80,1068.50,1080.70,1068.10,158.53
25/11/2015,1070.00,1075.00,1080.40,1067.10,148.66
26/11/2015,1070.80,1070.10,1074.20,1069.20,0
27/11/2015,1056.10,1069.90,1073.70,1051.50,1.42
30/11/2015,1065.40,1057.10,1069.00,1052.30,0.76
01/12/2015,1063.60,1065.10,1074.20,1062.90,1.24
02/12/2015,1053.90,1068.10,1070.20,1049.60,0.61
